study,measure,domain,T.1,N.1,Mean.1,SD.1,T.2,N.2,Mean.2,SD.2,Severity,Duration,Age
"Ramirez-delaCruz et al., 2025",attention/response inhibition (score),attention,normoxia,26,47,3,normobaric hypoxia,26,25,21,0.11,45,23
"Ramirez-delaCruz et al., 2025",attention/response inhibition (score),attention,normoxia,26,47,3,normobaric hypoxia,26,32,25,0.13,45,23
"Ramirez-delaCruz et al., 2025",attention/response inhibition (score),attention,normoxia,26,47,3,normobaric hypoxia,26,38,31,0.15,45,23
"Asmaro et al., 2013",attention/response inhibition (score),attention,normoxia,35,22.17,6.02,hypobaric hypoxia,35,16.52,7.89,0.105,30,45
"Davis et al., 2015",attention/response inhibition (score),attention,normoxia,31,10,1,hypobaric hypoxia,78,10,1,0.143,1440,40
"Davis et al., 2015",attention/response inhibition (score),attention,normoxia,31,10,1,hypobaric hypoxia,23,8,2,0.12,1440,40
"Falla et al., 2024a",attention/response inhibition (score),attention,normoxia,48,0.85,0.12,hypobaric hypoxia,48,0.85,0.12,0.112,5,40
"Falla et al., 2024b",attention/response inhibition (score),attention,normoxia,36,0.9,0.1,hypobaric hypoxia,36,0.9,0.1,0.125,30,36
"Hill et al., 2014",attention/response inhibition (score),attention,normoxia,20,85,2,hypobaric hypoxia,20,86,2,0.132,17344800,33
"Hohenaur et al., 2022",attention/response inhibition (score),attention,normoxia,20,65.9,22.1,hypobaric hypoxia,20,57.8,22.1,0.143,1440,30
"Latshang et al., 2013",attention/response inhibition (score),attention,normoxia,12,1,4,hypobaric hypoxia,12,1,3,0.153,2160,24
"Latshang et al., 2013",attention/response inhibition (score),attention,normoxia,12,0.3,0.18,hypobaric hypoxia,12,0.26,0.15,0.153,2160,24
"Wu et al., 2023",attention/response inhibition (score),attention,normoxia,41,42.98,18.56,hypobaric hypoxia,41,62.45,19.06,0.132,8640,23
"Schega et al., 2013",attention/response inhibition (score),attention,normoxia,17,75.16,13.32,intermittent hypoxia,17,82.01,15.53,0.13,60,63
"Schega et al., 2016",attention/response inhibition (score),attention,normoxia,18,34.2,6.3,intermittent hypoxia,18,32.4,4.9,0.13,90,65
"Schega et al., 2016",attention/response inhibition (score),attention,normoxia,18,77,16.2,intermittent hypoxia,18,68.3,8,0.13,90,65
"Ando et al., 2023",attention/response inhibition (score),attention,normoxia,12,100,0.96,normobaric hypoxia,12,98.3,2.44,0.12,360,23
"Bloomfield et al., 2023",attention/response inhibition (score),attention,normoxia,12,98.6,10.3,normobaric hypoxia,12,97.1,11.2,0.105,40,26
"Hohenaur et al., 2022",attention/response inhibition (score),attention,normoxia,20,65.9,22.1,normobaric hypoxia,20,66.7,21.4,0.143,15,30
"Legg et al., 2016",attention/response inhibition (score),attention,normoxia,36,1.27,0.23,normobaric hypoxia,36,1.33,0.32,0.154,40,30
"Legg et al., 2016",attention/response inhibition (score),attention,normoxia,36,44.4,13.6,normobaric hypoxia,36,43.3,12.6,0.154,40,30
"Legg et al., 2016",attention/response inhibition (score),attention,normoxia,36,1.27,0.23,normobaric hypoxia,36,1.38,0.24,0.132,40,30
"Legg et al., 2016",attention/response inhibition (score),attention,normoxia,36,44.4,13.6,normobaric hypoxia,36,43.7,12.5,0.132,40,30
"Ramirez-delaCruz et al., 2025",attention/response inhibition (score),attention,normoxia,26,396,39,normobaric hypoxia,26,372,36,0.11,45,23
"Ramirez-delaCruz et al., 2025",attention/response inhibition (score),attention,normoxia,26,502,73,normobaric hypoxia,26,480,48,0.11,45,23
"Thomas et al., 2007",attention/response inhibition (score),attention,normoxia,11,256,45,normobaric hypoxia,11,259,33,0.127,540,27
"Turner et al., 2015b",attention/response inhibition (score),attention,normoxia,15,118.8,18.5,normobaric hypoxia,15,112,22.9,0.1,90,31
"Bloomfield et al., 2023",attention/response inhibition (score),attention,normoxia,12,102.2,7.4,normobaric hypoxia,12,83.4,14.7,0.105,40,26
"Turner et al., 2015b",attention/response inhibition (score),attention,normoxia,15,93.7,16.8,normobaric hypoxia,15,70.7,51.5,0.1,90,31
"Aebi et al., 2020",attention/response inhibition (score),attention,normoxia,16,20.9,5.8,normobaric hypoxia,16,19.7,4.2,0.103,30,26
"Bloomfield et al., 2023",attention/response inhibition (score),attention,normoxia,12,98.6,10.3,normobaric hypoxia,12,97.9,10.2,0.105,40,26
"Shukitt-Hale et al., 1998",addition (score),executive function,normoxia,23,11.47,0.61,hypobaric hypoxia,23,10.06,0.74,0.115,270,22
"Shukitt-Hale et al., 1998",addition (score),executive function,normoxia,23,11.47,0.61,hypobaric hypoxia,23,10.64,0.62,0.123,270,22
"Shukitt-Hale et al., 1998",coding (score),executive function,normoxia,23,43.65,1.84,hypobaric hypoxia,23,39.18,2.11,0.115,270,22
"Shukitt-Hale et al., 1998",coding (score),executive function,normoxia,23,43.65,1.84,hypobaric hypoxia,23,41.5,1.84,0.123,270,22
"Hohenaur et al., 2022",cognitive flexibility (score),executive function,normoxia,20,39.5,11.7,hypobaric hypoxia,20,39.7,10.9,0.143,1440,30
"Bloomfield et al., 2023",cognitive flexibility (score),executive function,normoxia,12,110.9,11.9,normobaric hypoxia,12,94.6,21.4,0.105,40,26
"Hohenaur et al., 2022",cognitive flexibility (score),executive function,normoxia,20,39.5,11.7,normobaric hypoxia,20,39.7,10.1,0.143,15,30
"Legg et al., 2016",cognitive flexibility (score),executive function,normoxia,36,8.87,1.25,normobaric hypoxia,36,8.86,1.13,0.154,40,30
"Legg et al., 2016",cognitive flexibility (score),executive function,normoxia,36,8.87,1.25,normobaric hypoxia,36,8.46,0.79,0.132,40,30
"Turner et al., 2015a",cognitive flexibility (score),executive function,normoxia,22,109,13.2,normobaric hypoxia,22,102.6,15.1,0.105,50,23
"Turner et al., 2015b",cognitive flexibility (score),executive function,normoxia,15,98.8,18.2,normobaric hypoxia,15,88.9,31.7,0.1,90,31
"Niedermeier et al., 2017",decision-making (score),executive function,normoxia,42,2.69,2.25,normobaric hypoxia,42,1.5,1.6,0.126,720,24
"Asmaro et al., 2013",executive function (score),executive function,normoxia,35,66.4,39.24,hypobaric hypoxia,35,25.72,7.08,0.105,30,45
"Asmaro et al., 2013",executive function (score),executive function,normoxia,35,102.07,30.91,hypobaric hypoxia,35,53.12,17.45,0.081,30,45
"Keeler et al., 2023",executive function (score),executive function,normoxia,21,32,10,hypobaric hypoxia,21,28,12,0.14,60,27
"Keeler et al., 2023",executive function (score),executive function,normoxia,21,32,10,hypobaric hypoxia,21,33,15,0.14,90,27
"Bloomfield et al., 2023",executive function (score),executive function,normoxia,12,112,12,normobaric hypoxia,12,97.3,21.1,0.105,40,26
"Turner et al., 2015a",executive function (score),executive function,normoxia,22,107.8,14.4,normobaric hypoxia,22,100.4,18.3,0.105,50,23
"Aebi et al., 2020",incorrect answers (score),executive function,normoxia,16,1.4,0.9,normobaric hypoxia,16,2.7,1.8,0.103,30,26
"Shukitt-Hale et al., 1998",map compass (score),executive function,normoxia,23,4.47,0.47,hypobaric hypoxia,23,4.97,0.58,0.115,270,22
"Shukitt-Hale et al., 1998",map compass (score),executive function,normoxia,23,4.47,0.47,hypobaric hypoxia,23,4.31,0.41,0.123,270,22
"Bloomfield et al., 2023",neurocognitive index (score),executive function,normoxia,12,101.2,7.5,normobaric hypoxia,12,88.9,9.2,0.105,40,26
